Platform,Game,Entry
Facebook,Tottenham vs. Liverpool September 30,"De Zerbi - “We approached Chelsea and Aston Villa same way we approached Manchester United, turns out they’re better teams than United”."
Facebook,Tottenham vs. Liverpool September 30,2 red cards ! 1 disallowed goal ! 1 own goal ! Referee is on our side ! WE ARE SO LUCKY ! This could be our year ! COYS !
Facebook,Tottenham vs. Liverpool September 30,Respect to Liverpool
Facebook,Tottenham vs. Liverpool September 30,Full-time   Tottenham 2-1 Liverpool Corners 🚩11-5 Bookings 3-8  #sosobi  Follow my page for more updates you need 🔥🔥🤝🏼☑️
Facebook,Tottenham vs. Liverpool September 30,من يحب الرسول صلى الله عليه وسلم يضع متابعه♥️♥️
Facebook,Tottenham vs. Liverpool September 30,That's my team .... 💙
Facebook,Tottenham vs. Liverpool September 30,"12 vs 9, buruk sangat buruk 😡😡😡"
Facebook,Tottenham vs. Liverpool September 30,Score??
Facebook,Tottenham vs. Liverpool September 30,14 Against 9 && You Still Needed Luck!
Facebook,Tottenham vs. Liverpool September 30,Rattakorn Tokaichak
Facebook,Tottenham vs. Liverpool September 30,You are lucky Simon Cooper was on drugs🤬 stupid Spurs
Facebook,Tottenham vs. Liverpool September 30,🩶
Facebook,Tottenham vs. Liverpool September 30,COYS
Facebook,Tottenham vs. Liverpool September 30,دقيقة هي الطابة كانت فوز وشو؟ نسيت لأن🥰
Facebook,Tottenham vs. Liverpool September 30,Well deserved three points. Definitely made it hard. Unbeaten run continues! COYS!
Facebook,Tottenham vs. Liverpool September 30,The way you celebrate proves what a small club you are. Small pathetic club
Facebook,Tottenham vs. Liverpool September 30,Great win COYS!
Facebook,Tottenham vs. Liverpool September 30,Gooodddddddddd
Facebook,Tottenham vs. Liverpool September 30,Pavlos Pavlou you writing this comment
Facebook,Tottenham vs. Liverpool September 30,Congrats😍😍😍
Facebook,Tottenham vs. Liverpool September 30,Lau Chung Kwan pain😹
Facebook,Tottenham vs. Liverpool September 30,Please show some respect for Liverpool FC 😊❤️
Facebook,Tottenham vs. Liverpool September 30,Vicario MOTM
Facebook,Tottenham vs. Liverpool September 30,Nice job 👏
Facebook,Tottenham vs. Liverpool September 30,12 vs 9
Facebook,Tottenham vs. Liverpool September 30,"You spurs!  Left it late though!  Dirty Liverpool today, disgusting."
Facebook,Tottenham vs. Liverpool September 30,Poor tottenham can't beat Liverpool at least 4_1 with 2 red card what a shame?
Facebook,Tottenham vs. Liverpool September 30,Really bad against 9...but a wins a win.COYS!❤️
Facebook,Tottenham vs. Liverpool September 30,Gg♥️
Facebook,Tottenham vs. Liverpool September 30,Well-done lads
Facebook,Tottenham vs. Liverpool September 30,Pavlos Pavlou cry more.
Facebook,Tottenham vs. Liverpool September 30,Come on SPURS 🤍❤️‍🩹
Facebook,Tottenham vs. Liverpool September 30,Honestly the refereeing was biased. COYS.
Facebook,Tottenham vs. Liverpool September 30,#COYS  💪💪💪
Facebook,Tottenham vs. Liverpool September 30,congrats 👏
Facebook,Tottenham vs. Liverpool September 30,Referee vs Liverpool
Facebook,Tottenham vs. Liverpool September 30,Congratulations 🤍
Facebook,Tottenham vs. Liverpool September 30,Honestly bad performance but keep going  Com on you spurs ❤️
Facebook,Tottenham vs. Liverpool September 30,Congratulations and good luck with the league
Facebook,Tottenham vs. Liverpool September 30,COYS
Facebook,Tottenham vs. Liverpool September 30,Cmonnnnnnnnnnn U Spurs
Facebook,Tottenham vs. Liverpool September 30,โกงฉิปหาย
Facebook,Tottenham vs. Liverpool September 30,ابطااااليي ❤️🔥
Facebook,Tottenham vs. Liverpool September 30,It's going Great.
Facebook,Tottenham vs. Liverpool September 30,Poor result
Facebook,Tottenham vs. Liverpool September 30,wllhy cawa Waxan ogaaday liverpool inay ncab badan leedahay Bal eeg 2 Casaan 12 Huruuda' Hadana Sidaasoy tahay Waanu Adkayn Wllhy Taasi way nagu dhacday Caawa lkn Koobkan cidaan redz ahayn Qaadi mayso Redz for ever💔🔥
Facebook,Tottenham vs. Liverpool September 30,Joe Matip presenting Spurs Victory on a silver platter🤣🤣🤣🤣
Facebook,Tottenham vs. Liverpool September 30,Good performance 😀💯
Facebook,Tottenham vs. Liverpool September 30,Une belle équipe
Facebook,Tottenham vs. Liverpool September 30,lovely game💪
Facebook,Tottenham vs. Liverpool September 30,"Brilliant performance from Tottenham, What A Win Magnificent Win 😭💔"
Facebook,Tottenham vs. Liverpool September 30,VAMO totão 🤍⚽
Facebook,Tottenham vs. Liverpool September 30,Lucky to get all three points. Matip Man of the Match!
Facebook,Tottenham vs. Liverpool September 30,"Ok , VAR win , but hotdog still cannot win any trophy"
Facebook,Tottenham vs. Liverpool September 30,COYS!!!!
Facebook,Tottenham vs. Liverpool September 30,Admin Leo nalalw na viatu 🤣🤣🤣
Facebook,Tottenham vs. Liverpool September 30,Tuyệt vời
Facebook,Tottenham vs. Liverpool September 30,Crazy? 9 men and lost to you? Spurs for life!!!
Facebook,Tottenham vs. Liverpool September 30,Yesssssssss this is spurs 🤍💙
Facebook,Tottenham vs. Liverpool September 30,Hhhhhhhhhh
Facebook,Tottenham vs. Liverpool September 30,(¬◡¬)✧
Facebook,Tottenham vs. Liverpool September 30,"That was one of the worst reffed games I’ve ever seen I feel for Liverpool, like even as spurs fans you guys have to agree what drugs was the ref on! I hope Liverpool FC report it for match fixing cause omgggg"
Facebook,Tottenham vs. Liverpool September 30,Congratulations
Facebook,Tottenham vs. Liverpool September 30,"Even this way, Spurs go marching on....! COYS!"
Facebook,Tottenham vs. Liverpool September 30,Liverpool Own goal makes you win😅😅 9 vs 11 😅
Facebook,Tottenham vs. Liverpool September 30,Da Ve I went to Stamford bridge to buy Chelsea jersey and I was booked for medical test
Facebook,Tottenham vs. Liverpool September 30,Vai pula voastră de nimici
Facebook,Tottenham vs. Liverpool September 30,COYS !!!!!!!!!!!!!!!!!!!!
Facebook,Tottenham vs. Liverpool September 30,#COYS ❤
Facebook,Tottenham vs. Liverpool September 30,💙 COYS 🤍
Facebook,Tottenham vs. Liverpool September 30,Ok we were clueless against 9 but my word we have heart and desire and got over the line. COYS!
Facebook,Tottenham vs. Liverpool September 30,Spurs players celebrated like they’d won the Audi Cup when they’d beaten a 9 man Liverpool side with a Matip OG.   Embarrassing.
Facebook,Tottenham vs. Liverpool September 30,Bisouma and uger are mon 🔑
Facebook,Tottenham vs. Liverpool September 30,"A dirty win, but we'll take 3 points against Liverpool anyday! COYS ❤️"
Facebook,Tottenham vs. Liverpool September 30,Congrats spurs
Facebook,Tottenham vs. Liverpool September 30,Joaquim Santos rather be lucky than good.
Facebook,Tottenham vs. Liverpool September 30,Josh Dunlop
Facebook,Tottenham vs. Liverpool September 30,Thank you Tottenham Hotspur 🥰
Facebook,Tottenham vs. Liverpool September 30,Having 2 Red cards is the only way to beat Liverpool
Facebook,Tottenham vs. Liverpool September 30,I’m not a Liverpool fan but this was the worst game I have ever seen from the official stand point. The referee was so bad in this game.
Facebook,Tottenham vs. Liverpool September 30,I AM PROUD TO BE A SPURSSSS FAN!!!!!!!
Facebook,Tottenham vs. Liverpool September 30,A legitimate goal ruled offside 2 red card  An own goal. But still the referee didn't do enough. 2 more red card would have helped Tottenham score a goal themselves.😁😁
Facebook,Tottenham vs. Liverpool September 30,Unbeatable
Facebook,Tottenham vs. Liverpool September 30,Congratulations 🎊❤️
Facebook,Tottenham vs. Liverpool September 30,Congrats 💯💯
Facebook,Tottenham vs. Liverpool September 30,Celebrating like You've won the Title.  That shows the mentality of the Spurs Club. 🤣
Facebook,Tottenham vs. Liverpool September 30,🤍
Facebook,Tottenham vs. Liverpool September 30,Nonsense
Facebook,Tottenham vs. Liverpool September 30,🔥🔥🔥🔥
Facebook,Tottenham vs. Liverpool September 30,"Well played, Liverpool is a tough team and they did defend well.  Glad we won."
Facebook,Tottenham vs. Liverpool September 30,Da Ve jealousy 🤦🏾‍♂️
Facebook,Tottenham vs. Liverpool September 30,Happy with the win really stoked actually  But I’m pretty neutral with it Cause now we gotta hear about this all Bloody Week from Klopp now
Facebook,Tottenham vs. Liverpool September 30,BEST   ? HAALAND😮🇳🇴 VINICIUS❤️🇧🇷 TORRES🥰🇪🇸 MBAPPE😢🇫🇷
Facebook,Tottenham vs. Liverpool September 30,What a team. It's not over until it's over. Long live Ange Bosstecoglu. What a gentleman.
Facebook,Tottenham vs. Liverpool September 30,Den satt fint Bengt Pettersson
Facebook,Tottenham vs. Liverpool September 30,Shameful win
Facebook,Tottenham vs. Liverpool September 30,Angeball Treble loading
Facebook,Tottenham vs. Liverpool September 30,We are coys
Facebook,Tottenham vs. Liverpool September 30,Mùa này đua vô địch nhé🎉🎉🎉
Facebook,Tottenham vs. Liverpool September 30,"Ange Ball,,, he is a good coach"
Facebook,Tottenham vs. Liverpool September 30,Pavlos Pavlou Nicosia expert
Facebook,Tottenham vs. Liverpool September 30,The only trophy that Spurs will ever win in the next 44 years even after they are relegated next 3 years is that drew Arsenal 2:2 at the Emirate this season. Liverpool even scored 2 goals that have counted. 11 against 9 even when not playing in Europe.  Well played Liverpool!
Facebook,Tottenham vs. Liverpool September 30,"Finally someone on the RIGHT FLANK other than KULU n his one left foot and WE GET SOMETHING, He is a SUPER SUB stop playing him GAFFER reminds me of OH DIER, How he kept starting n starting made no sense 🤷🏽‍♂️ #SpursUp #COYS"
Facebook,Tottenham vs. Liverpool September 30,What a match great performance by maddison
Facebook,Tottenham vs. Liverpool September 30,Tottenham 🤍
Facebook,Tottenham vs. Liverpool September 30,This is what happened for us(Spurs) last season. Same pinch...#COYS
Facebook,Tottenham vs. Liverpool September 30,Coys 💪🏾💪🏾💪🏾
Facebook,Tottenham vs. Liverpool September 30,Lovely! Stuff ❤️😊
Facebook,Tottenham vs. Liverpool September 30,"Không biết nhục mà còn ăn mừng, thắng trận này nhục cả đời"
Facebook,Tottenham vs. Liverpool September 30,"How embarrassing celebrating that win like that, 11 men vs 13 with the ref and VAR on your side. A clear onside goal ruled offside in your favour and had to beat 9 men with an own goal. Should be embarrassed"
Facebook,Tottenham vs. Liverpool September 30,English football is ruins. Just A Dirty Win!!!! Let's move to  Saudi.
Facebook,Tottenham vs. Liverpool September 30,Levy Thank you for BigAnge😭😭😭🔥🔥🔥🔥💯💯💯💯💯the previous managers were going to defend against 9 men
Facebook,Tottenham vs. Liverpool September 30,Congratulations
Facebook,Tottenham vs. Liverpool September 30,Spurs is not good enough to beat Liverpool in free and fair match
Facebook,Tottenham vs. Liverpool September 30,Goals in my story ✅✅✅✅✅✅✅🤍
Facebook,Tottenham vs. Liverpool September 30,COYS
Facebook,Tottenham vs. Liverpool September 30,Well done 👍❤️🙄
Facebook,Tottenham vs. Liverpool September 30,Well done lads
Facebook,Tottenham vs. Liverpool September 30,Congratulated
Facebook,Tottenham vs. Liverpool September 30,Da Ve ikr
Facebook,Tottenham vs. Liverpool September 30,Bravo!
Facebook,Tottenham vs. Liverpool September 30,Shame! Simon hooper to the rescue!
Facebook,Tottenham vs. Liverpool September 30,We prevailed at last 😤😤 come on you Spurs 💙🤍💪
Facebook,Tottenham vs. Liverpool September 30,Finally LiVARpool had VAR and luck go against them. And if anyone thinks an own goal is a cheap way to win if Matip was not there that was an easy tap in goal.
Facebook,Tottenham vs. Liverpool September 30,Plain robbery
Facebook,Tottenham vs. Liverpool September 30,Well done boys beat them scummy northerners 👏🏻👏🏻👏🏻
Facebook,Tottenham vs. Liverpool September 30,Best menager in Premier league i like him ❤️
Facebook,Tottenham vs. Liverpool September 30,Rodríguez Andrés te dije 😎😎😎
Facebook,Tottenham vs. Liverpool September 30,Pavlos Pavlou do want some salt with that.
Facebook,Tottenham vs. Liverpool September 30,Spurs don't deserve this win
Facebook,Tottenham vs. Liverpool September 30,London is blue
Facebook,Tottenham vs. Liverpool September 30,Spurs are WILD!!
Facebook,Tottenham vs. Liverpool September 30,မန်ယူဖန်အင်နိုးစင့်လေးပါ ခိုးကြည့်တာ ဟီးဟီး
Facebook,Tottenham vs. Liverpool September 30,Congratulations
Facebook,Tottenham vs. Liverpool September 30,Ai bakuyi kokari ba
Facebook,Tottenham vs. Liverpool September 30,Thanks goose to referee
Facebook,Tottenham vs. Liverpool September 30,BEST BIRTHDAY PRESENT EVER!! THANK YOU!
Facebook,Tottenham vs. Liverpool September 30,"Leave alone own goal,the ref was clearly under instructions from the FA. Didn't understand how dias goal was disallowed. I'm a chelsea fan but I'm disappointed. This was Liverpool Vs Ref."
Facebook,Tottenham vs. Liverpool September 30,Spurs!!!!!!!
Facebook,Tottenham vs. Liverpool September 30,Unbeaten run continues 💙 🤍
Facebook,Tottenham vs. Liverpool September 30,winnnnnnnning is October😍😍
Facebook,Tottenham vs. Liverpool September 30,Sonny 💙🔥👏
Facebook,Tottenham vs. Liverpool September 30,Wenger Boakye I sense some chest pains 😂
Facebook,Tottenham vs. Liverpool September 30,BOYSSSSS❤️
Facebook,Tottenham vs. Liverpool September 30,Brilliant 👏
Facebook,Tottenham vs. Liverpool September 30,Well deserved coysss🤍
Facebook,Tottenham vs. Liverpool September 30,Deserved? Maybe not. Lucky? Absolutely. But luck is needed sometimes and we normally never have it. Take it and run.
Facebook,Tottenham vs. Liverpool September 30,"Lau Chung Kwan  a bit of luck was needed but the team played really well , that's why we deserve win"
Facebook,Tottenham vs. Liverpool September 30,Tráyyyy tráy vãi lonnnn
Facebook,Tottenham vs. Liverpool September 30,🤍💙🇹🇿🇹🇿
Facebook,Tottenham vs. Liverpool September 30,Koox iyo badh
Facebook,Tottenham vs. Liverpool September 30,Officialy the weakest team in the league. Couldn’t win by yourselves even a rigged game.
Facebook,Tottenham vs. Liverpool September 30,COYS
Facebook,Tottenham vs. Liverpool September 30,Good match. It's about time Spurs had some luck. COYS
Facebook,Tottenham vs. Liverpool September 30,The way ur celebrating you would think you have won ur first league title in colour!
Facebook,Tottenham vs. Liverpool September 30,My boys 👦
Facebook,Tottenham vs. Liverpool September 30,I swear winning against Liverpool is the most difficult thing for this club But now *exhale*
Facebook,Tottenham vs. Liverpool September 30,Da Ve 1
Facebook,Tottenham vs. Liverpool September 30,Thắng làm vua  Thua đổ thừa
Facebook,Tottenham vs. Liverpool September 30,Glory glory Tottenham Hotspur Really love you guys 🎯🎯🤞🤞
Facebook,Tottenham vs. Liverpool September 30,Awesome ❤️
Facebook,Tottenham vs. Liverpool September 30,White lions 🤢
Facebook,Tottenham vs. Liverpool September 30,we don't need striker we need matip
Facebook,Tottenham vs. Liverpool September 30,Matip thank you
Facebook,Tottenham vs. Liverpool September 30,Lucky
Facebook,Tottenham vs. Liverpool September 30,Lady luck just gave us a huge smacker 😀 we seem great when it's end to end but attack is blunt when son goes off. Will take a win against Liverpool in any circumstances.
Facebook,Tottenham vs. Liverpool September 30,😻🤍🤍🤍
Facebook,Tottenham vs. Liverpool September 30,"Well done Spurs, Ange-ball 🍀🔥✊"
Facebook,Tottenham vs. Liverpool September 30,"AJ Collins So you agree, Spurs should have won the game last weekend because your precious goons only actually scored once, and a pen at that?"
Facebook,Tottenham vs. Liverpool September 30,Ochi Éric Uchenna at least we won the game.... coysssss
Facebook,Tottenham vs. Liverpool September 30,Waaa rbi ch7aal kanbghikom wakha ch7ftoni
Facebook,Tottenham vs. Liverpool September 30,Still can’t believe my eyes 😳❤️❤️
Facebook,Tottenham vs. Liverpool September 30,That is for years and years of late scams at Anfield.
Facebook,Tottenham vs. Liverpool September 30,Pedro Porro MOTM
Facebook,Tottenham vs. Liverpool September 30,YEEESSSSSS!!!!!!!!!!!!! ⚪️🔵⚪️🔵⚪️🔵
Facebook,Tottenham vs. Liverpool September 30,Da Ve you bellend
Facebook,Tottenham vs. Liverpool September 30,what a performance by refree👏🏻👏🏻
Facebook,Tottenham vs. Liverpool September 30,Tony Tan Ah Hock zzzzz...
Facebook,Tottenham vs. Liverpool September 30,Michał Tusz we are still unbeaten😂😂
Facebook,Tottenham vs. Liverpool September 30,OHH MY GOD!! THIS FEELS SO BLOODY GOOD!!!🤩🤩
Facebook,Tottenham vs. Liverpool September 30,Coy Coy Coy Spurs  Ousar é fazer
Facebook,Tottenham vs. Liverpool September 30,Hadie Manc Utd says the guy who lost to Crystal Palace.
Facebook,Tottenham vs. Liverpool September 30,"What a match,what a ref,what a var"
Facebook,Tottenham vs. Liverpool September 30,Good game but you are not winning any trophy any time soon
Facebook,Tottenham vs. Liverpool September 30,I'll take it. You don't score if you don't put it on there box. They've got 9 men in their box. Ofc it's going to be difficult to score.
Facebook,Tottenham vs. Liverpool September 30,Coys🥺⚽💙🤍🤘🏽
Facebook,Tottenham vs. Liverpool September 30,WE WON WE WON WE WON  WHOOOOOOOOOOOAAAAAA  YESSSSSSSS  GREAT GAME EVER!!!!!  We’re so proud of y’all 🤟
Facebook,Tottenham vs. Liverpool September 30,referee is your man of the match today
Facebook,Tottenham vs. Liverpool September 30,Coys❤️
Facebook,Tottenham vs. Liverpool September 30,Josh Gray joke off a league with those refs
Facebook,Tottenham vs. Liverpool September 30,Well deserved victory Tottenham Hotspur you played really well 💪💪💪
Facebook,Tottenham vs. Liverpool September 30,Da Ve
Facebook,Tottenham vs. Liverpool September 30,It's like winning a trophy. you beating a 9 man Liverpool 😂😂😂 embarrassing
Facebook,Tottenham vs. Liverpool September 30,Well done lads!!
Facebook,Tottenham vs. Liverpool September 30,Spurs saved us 👀💙
Facebook,Tottenham vs. Liverpool September 30,Well played Son & Romero 🔥
Facebook,Tottenham vs. Liverpool September 30,بالزقل فزتو
Facebook,Tottenham vs. Liverpool September 30,فوز الريال وتوتنهام  هاد اليوم الحلو 😌🤍👑
Facebook,Tottenham vs. Liverpool September 30,Makola Michael Are you blind
Facebook,Tottenham vs. Liverpool September 30,"This team and especially against klopp moaner, amazing!! 🙂 ❤️"
Facebook,Tottenham vs. Liverpool September 30,Excellent game lads🤍Those Cheaters deserve this after cheating for last 6 seasons🤍
Facebook,Tottenham vs. Liverpool September 30,Duck me must be slow on the farm today
Facebook,Tottenham vs. Liverpool September 30,Yes yes!!
Facebook,Tottenham vs. Liverpool September 30,Joaquim Santos  Luck? I'll take it. I mean who wouldn't....
Facebook,Tottenham vs. Liverpool September 30,Calvin ⚽️
Facebook,Tottenham vs. Liverpool September 30,hambalyo zxp
Facebook,Tottenham vs. Liverpool September 30,Lovee myyy teammmmm
Facebook,Tottenham vs. Liverpool September 30,No loss so far I see the cup
Facebook,Tottenham vs. Liverpool September 30,Takes 2 red cards and an own goal last min to beat Liverpool 🤣🤣 but we got there in the end. #COYS 💪🏽👏🏼
Facebook,Tottenham vs. Liverpool September 30,Tony Tan Ah Hock better than last season but still not convincing
Facebook,Tottenham vs. Liverpool September 30,Congrats to the Spruz and their ref
Facebook,Tottenham vs. Liverpool September 30,😇😇😇
Facebook,Tottenham vs. Liverpool September 30,Confiance
Facebook,Tottenham vs. Liverpool September 30,Tony Tan Ah Hock biased ref
Facebook,Tottenham vs. Liverpool September 30,English league this year Tot
Facebook,Tottenham vs. Liverpool September 30,Jacob Espenhain dreamland 💪
Facebook,Tottenham vs. Liverpool September 30,Matip feel pitty to them..
Facebook,Tottenham vs. Liverpool September 30,"Liverpool defended really well. Surprisingly so. Very lucky to have gotten the win, in my opinion, but it is so tough trying to score against a team having to park the bus."
Facebook,Tottenham vs. Liverpool September 30,Beautiful moment ♥️♥️
Facebook,Tottenham vs. Liverpool September 30,"I never rated spurs this season,but they are proving me wrong."
Facebook,Tottenham vs. Liverpool September 30,"Congratulations Tottenham,,,,,, from Chelsea fan 💙💙🔥"
Facebook,Tottenham vs. Liverpool September 30,"COYS,⚽️⚽️⚽️⚽️⚽️⚽️"
Facebook,Tottenham vs. Liverpool September 30,Take the win but you don’t deserve it. Everything was against Liverpool 2 good goals one disallowed and no line drawn.
Facebook,Tottenham vs. Liverpool September 30,🤍🤍
Facebook,Tottenham vs. Liverpool September 30,Da Ve wow. I bet that took you a long time to think of. I've never heard that one before *sarcasm*
Facebook,Tottenham vs. Liverpool September 30,Good game.... congratulations 🎉🎉
Facebook,Tottenham vs. Liverpool September 30,Yes we won
Facebook,Tottenham vs. Liverpool September 30,Hotspur 🥳🥳
Facebook,Tottenham vs. Liverpool September 30,spurs 💪
Facebook,Tottenham vs. Liverpool September 30,AJ Collins 9 men
Facebook,Tottenham vs. Liverpool September 30,Congratulations to the whole Team 🤍🤍🤍
Facebook,Tottenham vs. Liverpool September 30,Yesssssssss this is spurs 🤍💙
Facebook,Tottenham vs. Liverpool September 30,I went to the kitchen wearing Tottenham jersey and I couldn't lift a cup
Facebook,Tottenham vs. Liverpool September 30,Come On You Spurs 🐓
Facebook,Tottenham vs. Liverpool September 30,We won that's all that matters COYS!!!!!!! 💙
Facebook,Tottenham vs. Liverpool September 30,Liverpool Own goal makes you win🤣
Facebook,Tottenham vs. Liverpool September 30,extremely dramatic
Facebook,Tottenham vs. Liverpool September 30,AJ Collins ume watch game basi imekuwa apo
Facebook,Tottenham vs. Liverpool September 30,🤍🤍🤍🤍🤍🤍
Facebook,Tottenham vs. Liverpool September 30,🙏🙏🙏
Facebook,Tottenham vs. Liverpool September 30,Lets gooooooo
Facebook,Tottenham vs. Liverpool September 30,Interesting - Johnny Gaynor
Facebook,Tottenham vs. Liverpool September 30,Your manager and team were celebrating as if it was a final. Such a small team mentality.
Facebook,Tottenham vs. Liverpool September 30,"Joaquim Santos if you can’t be good, be lucky"
Facebook,Tottenham vs. Liverpool September 30,Spurs
Facebook,Tottenham vs. Liverpool September 30,"what a mach,,"
Facebook,Tottenham vs. Liverpool September 30,"Da Ve how original, never seen that one before. Jog on muppet"
Facebook,Tottenham vs. Liverpool September 30,🧡💫🧡
Facebook,Tottenham vs. Liverpool September 30,Well done lads
Facebook,Tottenham vs. Liverpool September 30,Who's Harry Kane😊
Facebook,Tottenham vs. Liverpool September 30,That's life sometimes you win sometimes you loserpool 😁😫Elo siboza 🚶🚶🚶
Facebook,Tottenham vs. Liverpool September 30,Come on you Spurs 😍🤍
Facebook,Tottenham vs. Liverpool September 30,The audacity to celebrate after the game!
Facebook,Tottenham vs. Liverpool September 30,Thanks for putting a smile on our face this season... Weldon guys
Facebook,Tottenham vs. Liverpool September 30,Are you happy now COWARDS
Facebook,Tottenham vs. Liverpool September 30,Nabin Jung Khadka lol sucked in
Facebook,Tottenham vs. Liverpool September 30,Super Spurs.
Facebook,Tottenham vs. Liverpool September 30,Anjani ama chest pains 😂😂 Bonginhlanhla Gumede
Facebook,Tottenham vs. Liverpool September 30,Basem Essam  لو فزت كنت هتبقي اول ترتيب  ابلع 🚨🚨
Facebook,Tottenham vs. Liverpool September 30,⚡⚡⚡⚡⚡
Facebook,Tottenham vs. Liverpool September 30,Vamos por la liga carajo
Facebook,Tottenham vs. Liverpool September 30,Winer C1 2019🥳🥳🥳
Facebook,Tottenham vs. Liverpool September 30,Toshi pains🤣🤣🤣
Facebook,Tottenham vs. Liverpool September 30,কাজ টা ঠিক হলো না এই ক্লাব কে আমি প্রিয় ভাবতাম🤐
Facebook,Tottenham vs. Liverpool September 30,😂😂😍😍best team forever
Facebook,Tottenham vs. Liverpool September 30,Ref is the man of the match
Facebook,Tottenham vs. Liverpool September 30,What a match 💙🤍 Unlucky Spurs 🥵
Facebook,Tottenham vs. Liverpool September 30,Marching band !!
Facebook,Tottenham vs. Liverpool September 30,#ToDareIsToDo 🤍🖤🤍🖤🖤
Facebook,Tottenham vs. Liverpool September 30,🤍⚽
Facebook,Tottenham vs. Liverpool September 30,9 liverpool - 16 Tottenham
Facebook,Tottenham vs. Liverpool September 30,Euphoria 🤍🤌🔥
Facebook,Tottenham vs. Liverpool September 30,Richy should have been the one who got subbed first I think by taking Son out made their task a bit easier. Anyway thanks to the boys we deserve it💪🏾
Facebook,Tottenham vs. Liverpool September 30,Gay?
Facebook,Tottenham vs. Liverpool September 30,Congratulations ♥️ well played 🥰👏
Facebook,Tottenham vs. Liverpool September 30,Andy Howie
Facebook,Tottenham vs. Liverpool September 30,Da Ve funny joke mate. Never heard this one before.
Facebook,Tottenham vs. Liverpool September 30,Wow spurs fans need to get a grip your 7 games in and you’ve been the luckiest 3 points ever !! Think you’d won the league 🤣🤣
Facebook,Tottenham vs. Liverpool September 30,စောက်ရှက်မရှိတော့ပျော်ပေါ့ကွာ
Facebook,Tottenham vs. Liverpool September 30,الأهداف ف الاستوري 🔥🔥
Facebook,Tottenham vs. Liverpool September 30,Nabin Jung Khadka a win is a win
Facebook,Tottenham vs. Liverpool September 30,The best club ever 🖤🤍🖤🤍🖤
Facebook,Tottenham vs. Liverpool September 30,🤍.
Facebook,Tottenham vs. Liverpool September 30,Favoured by referee oooops!! Still won't the trophy anyway 🖕🖕🖕
